trial_type,cond_group,item,source_group,source_item,q_type,story,question,left,right,left_pronoun,right_pronoun,correct,correct_response,question_answers,new_sent,story_region_count,sentence_count,article_chunk_count,connector_chunk_count,correct_answer_text,incorrect_answer_text,original_answer_1,original_answer_2,original_correct_key,source_file,adjusted
filler,1,F_1a,A,1a,S1,"Auf der_Einkaufsstraße herrschte eine_angespannte_Stimmung.
Philipp hatte Lisa verklagt.
Sie hatte sein_Geschäft mit roter Farbe verunstaltet, weil_seine_Klage ungerechtfertigt war.",Was waren diese Personen?,Geschäftsinhaber,Vermieter,,,F,F,Was waren diese Personen? (Geschäftsinhaber / Vermieter),"Auf der Einkaufsstraße herrschte eine angespannte Stimmung. Philipp hatte Lisa verklagt. Sie hatte sein Geschäft mit roter Farbe verunstaltet, weil seine Klage ungerechtfertigt war.",18,3,3,1,Geschäftsinhaber,Vermieter,Geschäftsinhaber,Vermieter,F,Critical.csv,No
filler,1,F_2c,A,2c,S1,"Im_Englischunterricht gab es heute lautstarken Streit.
Beatrix hatte Niklas zurechtgewiesen, woraufhin_er ihren_Unterricht mit dummen Fragen unterbrach, da_ihre_Ermahnungen ihn ärgerten.",Welches Fach unterrichtete Beatrix?,Englisch,Geschichte,,,F,F,Welches Fach unterrichtete Beatrix? (Englisch / Geschichte),"Im Englischunterricht gab es heute lautstarken Streit. Beatrix hatte Niklas zurechtgewiesen, woraufhin er ihren Unterricht mit dummen Fragen unterbrach, da ihre Ermahnungen ihn ärgerten.",19,2,2,2,Englisch,Geschichte,Geschichte,Englisch,J,Critical.csv,No
filler,1,F_3b,A,3b,S1,"Der_Konzertsaal hallte wider von Jubel.
Leon hatte Diana applaudiert.
Sie sang daraufhin beeindruckende Melodien für das_Finale, da_sein_Jubel sie inspirierte.",Wo fand das Konzert statt?,Drinnen,Draußen,,,F,F,Wo fand das Konzert statt? (Drinnen / Draußen),"Der Konzertsaal hallte wider von Jubel. Leon hatte Diana applaudiert. Sie sang daraufhin beeindruckende Melodien für das Finale, da sein Jubel sie inspirierte.",19,3,2,1,Drinnen,Draußen,Drinnen,Draußen,F,Critical.csv,No
filler,1,F_6a,A,6a,S1,"Es war kein_guter_Abend für die_Mitglieder des_Orchesters.
Larissa hatte Arthur kritisiert.
Er spielte an diesem_Abend während der_gesamten_Aufführung sehr schlecht, da_ihre_Kritik ihn aus der_Fassung gebracht hatte.",Was waren diese Personen?,Musiker,Schauspieler,,,F,F,Was waren diese Personen? (Musiker / Schauspieler),"Es war kein guter Abend für die Mitglieder des Orchesters. Larissa hatte Arthur kritisiert. Er spielte an diesem Abend während der gesamten Aufführung sehr schlecht, da ihre Kritik ihn aus der Fassung gebracht hatte.",24,3,6,1,Musiker,Schauspieler,Schauspieler,Musiker,J,Critical.csv,No
filler,1,F_7c,A,7c,S1,"In der_neuen_Arbeitsgruppe begannen sich Freundschaften zu bilden.
Mario hatte Edith gelobt, woraufhin_sie ihm als Dankeschön Kekse mit extra viel Schokolade gebacken hat, da_das_Lob sie erfreut hatte.",In welcher Beziehung standen Mario und Edith zueinander?,Kollegen,Nachbarn,,,F,F,In welcher Beziehung standen Mario und Edith zueinander? (Kollegen / Nachbarn),"In der neuen Arbeitsgruppe begannen sich Freundschaften zu bilden. Mario hatte Edith gelobt, woraufhin sie ihm als Dankeschön Kekse mit extra viel Schokolade gebacken hat, da das Lob sie erfreut hatte.",26,2,1,2,Kollegen,Nachbarn,Kollegen,Nachbarn,F,Critical.csv,No
filler,1,F_9b,A,9b,S1,"Die_Streitschlichtung verlief nicht sehr reibungslos.
Lorenz hatte Wanda korrigiert.
Sie sprach daraufhin seinen_Namen mit zusätzlichen Silben falsch aus, da_seine_Korrektur sie ärgerte.",Wofür war das Treffen gedacht?,Streitschlichtung,Eventplanung,,,F,F,Wofür war das Treffen gedacht? (Streitschlichtung / Eventplanung),"Die Streitschlichtung verlief nicht sehr reibungslos. Lorenz hatte Wanda korrigiert. Sie sprach daraufhin seinen Namen mit zusätzlichen Silben falsch aus, da seine Korrektur sie ärgerte.",21,3,2,1,Streitschlichtung,Eventplanung,Eventplanung,Streitschlichtung,J,Critical.csv,No
filler,1,F_10a,A,10a,S2,"In letzter Zeit herrschte im_Vertriebsteam einiges Chaos.
Stella hatte Gerd degradiert.
Er verpasste daraufhin in dieser_Woche ein_Treffen mit wichtigen Kunden, da_die_Degradierung ihn wütend gemacht hatte.",Wer wurde degradiert?,Gerd,Stella,,,F,F,Wer wurde degradiert? (Gerd / Stella),"In letzter Zeit herrschte im Vertriebsteam einiges Chaos. Stella hatte Gerd degradiert. Er verpasste daraufhin in dieser Woche ein Treffen mit wichtigen Kunden, da die Degradierung ihn wütend gemacht hatte.",25,3,3,1,Gerd,Stella,Stella,Gerd,F,Critical.csv,No
filler,1,F_12c,A,12c,S2,"Im_Hause Murphy herrschte erneut Chaos.
Elisabeth hatte Jonas bestraft, woraufhin_er als Reaktion eine_Vase in der_Küche zerbrach, da_ihre_Strafe ärgerlich war.",Wer hat eine Strafe erteilt?,Elisabeth,Jonas,,,F,F,Wer hat eine Strafe erteilt? (Elisabeth / Jonas),"Im Hause Murphy herrschte erneut Chaos. Elisabeth hatte Jonas bestraft, woraufhin er als Reaktion eine Vase in der Küche zerbrach, da ihre Strafe ärgerlich war.",19,2,3,2,Elisabeth,Jonas,Jonas,Elisabeth,J,Critical.csv,No
filler,1,F_13b,A,13b,S2,"In den_Spionageermittlungen des_FBI gab es bedeutende neue Entwicklungen.
Harald hatte Jolanda freigelassen.
Sie nannte daraufhin ihren_Anklägern die_Namen ihrer_Mitverschwörer, da_die_Freiheit ihre_Einstellung verändert hatte.",Wer hat einen Gefangenen freigelassen?,Harald,Jolanda,,,F,F,Wer hat einen Gefangenen freigelassen? (Harald / Jolanda),"In den Spionageermittlungen des FBI gab es bedeutende neue Entwicklungen. Harald hatte Jolanda freigelassen. Sie nannte daraufhin ihren Anklägern die Namen ihrer Mitverschwörer, da die Freiheit ihre Einstellung verändert hatte.",22,3,6,1,Harald,Jolanda,Harald,Jolanda,F,Critical.csv,No
filler,1,F_14a,A,14a,S3,"Die_Mitglieder der_königlichen_Familie ehrten die_besten_Künstler des_Landes.
Viktoria hatte Boris gelobt.
Er malte daraufhin sorgfältig ihr_Porträt für ihre_Galerie, da_ihr_Lob ihn erfreute.",Was hat Boris geschaffen?,Porträt,Oper,,,F,F,Was hat Boris geschaffen? (Porträt / Oper),"Die Mitglieder der königlichen Familie ehrten die besten Künstler des Landes. Viktoria hatte Boris gelobt. Er malte daraufhin sorgfältig ihr Porträt für ihre Galerie, da ihr Lob ihn erfreute.",19,3,6,1,Porträt,Oper,Oper,Porträt,J,Critical.csv,No
