selection_key,selection_name,final_global_order,expected_verb_bias,final_order_within_bias,list_item,verb,preliminary_rank,selected_for_formal_experiment,selection_method,congruent_adj_threshold,incongruent_adj_threshold
NP1_01_item004,formal_32_verbs_adj80_congruent_adj50_incongruent,1,NP1,1,4,verärgerte,1,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_02_item025,formal_32_verbs_adj80_congruent_adj50_incongruent,2,NP1,2,25,enttäuschte,2,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_03_item115,formal_32_verbs_adj80_congruent_adj50_incongruent,3,NP1,3,115,irritierte,5,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_04_item106,formal_32_verbs_adj80_congruent_adj50_incongruent,4,NP1,4,106,entschädigte,11,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_05_item097,formal_32_verbs_adj80_congruent_adj50_incongruent,5,NP1,5,97,verstimmte,13,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_06_item013,formal_32_verbs_adj80_congruent_adj50_incongruent,6,NP1,6,13,langweilte,14,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_07_item070,formal_32_verbs_adj80_congruent_adj50_incongruent,7,NP1,7,70,reizte,15,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_08_item112,formal_32_verbs_adj80_congruent_adj50_incongruent,8,NP1,8,112,verzückte,17,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_09_item015,formal_32_verbs_adj80_congruent_adj50_incongruent,9,NP1,9,15,nervte,20,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_10_item085,formal_32_verbs_adj80_congruent_adj50_incongruent,10,NP1,10,85,erboste,25,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_11_item040,formal_32_verbs_adj80_congruent_adj50_incongruent,11,NP1,11,40,interessierte,27,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_12_item051,formal_32_verbs_adj80_congruent_adj50_incongruent,12,NP1,12,51,provozierte,28,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_13_item049,formal_32_verbs_adj80_congruent_adj50_incongruent,13,NP1,13,49,erfreute,32,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_14_item082,formal_32_verbs_adj80_congruent_adj50_incongruent,14,NP1,14,82,elektrisierte,34,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_15_item002,formal_32_verbs_adj80_congruent_adj50_incongruent,15,NP1,15,2,störte,35,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP1_16_item061,formal_32_verbs_adj80_congruent_adj50_incongruent,16,NP1,16,61,verriet,36,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_01_item020,formal_32_verbs_adj80_congruent_adj50_incongruent,17,NP2,1,20,verabscheute,1,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_02_item089,formal_32_verbs_adj80_congruent_adj50_incongruent,18,NP2,2,89,dankte,3,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_03_item062,formal_32_verbs_adj80_congruent_adj50_incongruent,19,NP2,3,62,gratulierte,7,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_04_item007,formal_32_verbs_adj80_congruent_adj50_incongruent,20,NP2,4,7,verehrte,8,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_05_item032,formal_32_verbs_adj80_congruent_adj50_incongruent,21,NP2,5,32,fürchtete,9,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_06_item068,formal_32_verbs_adj80_congruent_adj50_incongruent,22,NP2,6,68,verspottete,11,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_07_item029,formal_32_verbs_adj80_congruent_adj50_incongruent,23,NP2,7,29,beneidete,12,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_08_item116,formal_32_verbs_adj80_congruent_adj50_incongruent,24,NP2,8,116,bemerkte,13,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_09_item005,formal_32_verbs_adj80_congruent_adj50_incongruent,25,NP2,9,5,bewunderte,14,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_10_item092,formal_32_verbs_adj80_congruent_adj50_incongruent,26,NP2,10,92,bejubelte,16,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_11_item019,formal_32_verbs_adj80_congruent_adj50_incongruent,27,NP2,11,19,korrigierte,17,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_12_item101,formal_32_verbs_adj80_congruent_adj50_incongruent,28,NP2,12,101,bestrafte,18,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_13_item119,formal_32_verbs_adj80_congruent_adj50_incongruent,29,NP2,13,119,belohnte,19,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_14_item017,formal_32_verbs_adj80_congruent_adj50_incongruent,30,NP2,14,17,tröstete,22,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_15_item098,formal_32_verbs_adj80_congruent_adj50_incongruent,31,NP2,15,98,führte,23,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
NP2_16_item018,formal_32_verbs_adj80_congruent_adj50_incongruent,32,NP2,16,18,verachtete,24,True,adj_filter_then_fixed_preliminary_rank,0.8,0.5
