adj_amb,cond_group,item,verb_bias,explanation,pronoun,pronoun_type,new_sent,question_answers,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,adj,german_adj_freq,german_adj_length,verb,german_verb_freq,german_verb_length,Susanne_avgRating_Score,story,question,left,right,left_pronoun,right_pronoun,correct,Context,context,context_story,target_story,full_text,context_region_count,target_region_count,total_region_count,context_article_chunk_count,q_type,Intended referent,intended_answer_text,intended_answer_side,intended_answer_key,correct_response,type1_ambiguous,real_NP1_gender,real_NP2_gender,generated_version,Causality
nonamb,1,1,NP1,NP1-Causality,er,er,"David belästigte Linda, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",Wann war er rücksichtslos? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,unüberhörbar,0.94,12.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
David belästigte Linda,
weil_er am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.",Wann war er rücksichtslos?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"David belästigte Linda,
weil_er am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. David belästigte Linda, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",11,11,22,1,5,NP1,am frühen Morgen,left,F,F,False,male,female,original,NP1-Causality
nonamb,2,1,NP1,NP1-Causality,er,amb,"David belästigte Frank, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",Wann war er rücksichtslos? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,unüberhörbar,0.94,12.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
David belästigte Frank,
weil_er am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.",Wann war er rücksichtslos?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"David belästigte Frank,
weil_er am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. David belästigte Frank, weil er am frühen Morgen rücksichtslos war und die Musik aufdrehte.",11,11,22,1,5,NP1,am frühen Morgen,left,F,F,False,male,male,both_male,NP1-Causality
nonamb,3,1,NP1,NP1-Causality,sie,amb,"Sabine belästigte Linda, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",Wann war sie rücksichtslos? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,unüberhörbar,0.94,12.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
Sabine belästigte Linda,
weil_sie am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.",Wann war sie rücksichtslos?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"Sabine belästigte Linda,
weil_sie am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. Sabine belästigte Linda, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",11,11,22,1,5,NP1,am frühen Morgen,left,F,F,False,female,female,both_female,NP1-Causality
nonamb,4,1,NP1,NP1-Causality,sie,sie,"Sabine belästigte Frank, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",Wann war sie rücksichtslos? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,unüberhörbar,0.94,12.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
Sabine belästigte Frank,
weil_sie am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.",Wann war sie rücksichtslos?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"Sabine belästigte Frank,
weil_sie am frühen Morgen rücksichtslos_war und die_Musik aufdrehte.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. Sabine belästigte Frank, weil sie am frühen Morgen rücksichtslos war und die Musik aufdrehte.",11,11,22,1,5,NP1,am frühen Morgen,left,F,F,False,female,male,swapped,NP1-Causality
nonamb,5,1,NP1,NP2-Causality,sie,sie,"David belästigte Linda, weil sie am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",Wann war sie hellhörig? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,gereizt,3.14,7.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
David belästigte Linda,
weil_sie am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.",Wann war sie hellhörig?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"David belästigte Linda,
weil_sie am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. David belästigte Linda, weil sie am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",11,11,22,1,5,NP2,am frühen Morgen,left,F,F,False,male,female,original,NP2-Causality
nonamb,6,1,NP1,NP2-Causality,er,amb,"David belästigte Frank, weil er am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",Wann war er hellhörig? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,gereizt,3.14,7.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
David belästigte Frank,
weil_er am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.",Wann war er hellhörig?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"David belästigte Frank,
weil_er am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. David belästigte Frank, weil er am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",11,11,22,1,5,NP2,am frühen Morgen,left,F,F,False,male,male,both_male,NP2-Causality
nonamb,7,1,NP1,NP2-Causality,sie,amb,"Sabine belästigte Linda, weil sie am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",Wann war sie hellhörig? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,gereizt,3.14,7.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
Sabine belästigte Linda,
weil_sie am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.",Wann war sie hellhörig?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"Sabine belästigte Linda,
weil_sie am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. Sabine belästigte Linda, weil sie am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",11,11,22,1,5,NP2,am frühen Morgen,left,F,F,False,female,female,both_female,NP2-Causality
nonamb,8,1,NP1,NP2-Causality,er,er,"Sabine belästigte Frank, weil er am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",Wann war er hellhörig? (am frühen Morgen / im frühen Morgengrauen),agitated,StimExp,8.0,25.0,-1.36,85,gereizt,3.14,7.0,belästigte,0.11,8.0,68.75,"In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.
Sabine belästigte Frank,
weil_er am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.",Wann war er hellhörig?,am frühen Morgen,im frühen Morgengrauen,,,F,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,In einem_Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür.,"Sabine belästigte Frank,
weil_er am frühen Morgen hellhörig_war und jedes_Geräusch mitbekam.","In einem Gebäude mit hellhörigen Wänden lebten mehrere Personen Tür an Tür. Sabine belästigte Frank, weil er am frühen Morgen hellhörig war und jedes Geräusch mitbekam.",11,11,22,1,5,NP2,am frühen Morgen,left,F,F,False,female,male,swapped,NP2-Causality
nonamb,1,2,NP1,NP1-Causality,er,er,"Peter störte Katharina, weil er am späten Nachmittag laut war und das Meeting unterbrach.",Wer störte Katharina? (Peter / David),annoyed,StimExp,7.0,268.0,-2.0,79,aggressiv,19.09,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Peter störte Katharina,
weil_er am späten Nachmittag laut_war und das_Meeting unterbrach.",Wer störte Katharina?,Peter,David,er,er,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Peter störte Katharina,
weil_er am späten Nachmittag laut_war und das_Meeting unterbrach.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Peter störte Katharina, weil er am späten Nachmittag laut war und das Meeting unterbrach.",7,11,18,3,2,NP1,Peter,left,F,F,False,male,female,original,NP1-Causality
nonamb,2,2,NP1,NP1-Causality,er,amb,"Peter störte Sebastian, weil er am späten Nachmittag laut war und das Meeting unterbrach.",Wer störte Sebastian? (Peter / Hans),annoyed,StimExp,7.0,268.0,-2.0,79,aggressiv,19.09,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Peter störte Sebastian,
weil_er am späten Nachmittag laut_war und das_Meeting unterbrach.",Wer störte Sebastian?,Peter,Hans,er,er,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Peter störte Sebastian,
weil_er am späten Nachmittag laut_war und das_Meeting unterbrach.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Peter störte Sebastian, weil er am späten Nachmittag laut war und das Meeting unterbrach.",7,11,18,3,2,NP1,Peter,left,F,F,False,male,male,both_male,NP1-Causality
